Lexema: program	Tipo: TKN_PROGRAM	Linea: 1	Columna: 0
Lexema: }	Tipo: TKN_RBRACE	Linea: 17	Columna: 10
Lexema: fi	Tipo: TKN_FI	Linea: 18	Columna: 0
Lexema: while	Tipo: TKN_WHILE	Linea: 19	Columna: 0
Lexema: (	Tipo: TKN_LPAREN	Linea: 19	Columna: 5
Lexema: a	Tipo: TKN_ID	Linea: 19	Columna: 6
Lexema: ==	Tipo: TKN_EQUAL	Linea: 19	Columna: 7
Lexema: 3	Tipo: TKN_NUM	Linea: 19	Columna: 9
Lexema: )	Tipo: TKN_RPAREN	Linea: 19	Columna: 10
Lexema: {	Tipo: TKN_LBRACE	Linea: 19	Columna: 11
Lexema: write	Tipo: TKN_WRITE	Linea: 20	Columna: 0
Lexema: a	Tipo: TKN_ID	Linea: 20	Columna: 6
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 20	Columna: 7
Lexema: }	Tipo: TKN_RBRACE	Linea: 21	Columna: 10
Lexema: }	Tipo: TKN_RBRACE	Linea: 22	Columna: 5
Lexema: until	Tipo: TKN_UNTIL	Linea: 22	Columna: 7
Lexema: (	Tipo: TKN_LPAREN	Linea: 22	Columna: 12
Lexema: c	Tipo: TKN_ID	Linea: 22	Columna: 13
Lexema: )	Tipo: TKN_RPAREN	Linea: 22	Columna: 14
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 22	Columna: 15
Lexema: }	Tipo: TKN_RBRACE	Linea: 23	Columna: 0
